"76431004","008B5D96A112","-200","-0.16355633","51.48440598","1439331657","1439331657","-2","140.00"
"76431011","001A4F216286","-200","8.62243175","50.12964870","1439331657","1439331657","-2","140.00"
"76431015","CE3540492B9A","-200","-122.46235606","48.76877896","1443240815","1439331657","-2","140.00"
"76431016","C8CD72A687EA","-200","-1.51702913","52.44719677","1439331657","1439331657","-2","140.00"
"76431024","00904B8EE631","-200","11.51227436","48.12709049","1439331657","1439331657","-2","140.00"
"76431050","6886A75388FF","-200","8.65198362","50.11033771","1439331658","1439331658","-2","140.00"
"76431065","20760072B9E4","-200","-113.98974415","51.05048628","1439331658","1439331658","-2","140.00"
"76431066","001970568DC4","-200","4.86583497","45.76382792","1439331658","1439331658","-2","140.00"
"76431076","00259C63D940","-200","20.92310376","52.27789228","1439331658","1439331658","-2","140.00"
"76431077","507E5DAF80AA","-200","8.57116065","50.13725072","1443229790","1439331658","-2","140.00"
